Label,Layer #,Scaffold #,wt% PPF,Spacing (mm),Speed (mm/s),Pressure (bar),Mean fiber,Mean pore,Mean spacing,Fiber Size (x1),x2,x3,x4,x5,Pore Size (x1),x2 2,x3 2,x4 2,x5 2,Fiber spacing (x1),Spacing x2,Spacing x3,Spacing x4,Spacing x5,Std wt% PPF,Std Spacing (mm),Std Speed (mm/s),Std Pressure (bar),Std Mean fiber,Std Mean pore,Std Mean spacing,Linear pore size,Quadratic pore size,Linear fiber diameter,Quadratic fiber diameter,4th order pore,4th order fiber,"Pore (lin, step)","Fiber (lin, step)","Pore (quad, step)","Fiber (quad, step)","Sum (lin, step)","Sum (quad, step)"
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,1,85,1.2,5,2,0.7326,0.423,1.1556,0.747,0.711,0.738,0.72,0.747,0.45,0.432,0.423,0.387,0.423,1.197,1.143,1.161,1.107,1.17,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.8099197878,-0.1603219916,1.1515585297,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,2,85,1.2,5,2,0.6714,0.468,1.1394,0.657,0.648,0.684,0.666,0.702,0.486,0.459,0.459,0.468,0.468,1.143,1.107,1.143,1.134,1.17,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.4119791151,0.0422896706,1.0703595947,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,3,85,1.2,5,2,0.5274,0.6174,1.1448,0.513,0.558,0.477,0.567,0.522,0.585,0.657,0.612,0.657,0.576,1.098,1.215,1.089,1.224,1.098,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.4756481205,0.7149603888,1.0974259064,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,4,85,1.2,5,2,0.27,0.8766,1.1466,0.306,0.234,0.315,0.225,0.27,0.846,0.927,0.828,0.909,0.873,1.152,1.161,1.143,1.134,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,-1.1980435323,1.8820035628,1.1064480103,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,1,85,1.2,5,2,0.4644,0.6642,1.1286,0.414,0.477,0.459,0.468,0.504,0.684,0.675,0.648,0.639,0.675,1.098,1.152,1.107,1.107,1.179,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.0660033104,0.9256765175,1.0162269715,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,2,85,1.2,5,2,0.4986,0.648,1.1466,0.45,0.495,0.513,0.495,0.54,0.666,0.657,0.666,0.639,0.612,1.116,1.152,1.179,1.134,1.152,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.2883819216,0.8527363191,1.1064480103,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,3,85,1.2,5,2,0.6228,0.5058,1.1286,0.639,0.621,0.612,0.639,0.603,0.459,0.522,0.495,0.558,0.495,1.098,1.143,1.107,1.197,1.098,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.0959674044,0.2124834667,1.0162269715,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,4,85,1.2,5,2,0.7596,0.4068,1.1664,0.747,0.747,0.783,0.738,0.783,0.387,0.423,0.396,0.423,0.405,1.134,1.17,1.179,1.161,1.188,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.9854818493,-0.23326219,1.2056911529,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,1,85,1.2,5,2,0.5688,0.5526,1.1214,0.63,0.576,0.549,0.549,0.54,0.504,0.522,0.567,0.567,0.603,1.134,1.098,1.116,1.116,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7448432815,0.4231995954,0.9801385559,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,2,85,1.2,5,2,0.5688,0.5832,1.152,0.603,0.54,0.558,0.558,0.585,0.585,0.603,0.585,0.585,0.558,1.188,1.143,1.143,1.143,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7448432815,0.5609755256,1.1335143219,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,3,85,1.2,5,2,0.5706,0.5742,1.1448,0.54,0.567,0.558,0.603,0.585,0.621,0.594,0.558,0.558,0.54,1.161,1.161,1.116,1.161,1.125,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7565474189,0.5204531932,1.0974259064,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,4,85,1.2,5,2,0.5868,0.5562,1.143,0.585,0.585,0.585,0.621,0.558,0.585,0.549,0.558,0.54,0.549,1.17,1.134,1.143,1.161,1.107,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.8618846558,0.4394085283,1.0884038025,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",4,1,85,1.2,5,2,0.4968,0.6372,1.134,0.423,0.468,0.54,0.531,0.522,0.666,0.657,0.621,0.603,0.639,1.089,1.125,1.161,1.134,1.161,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.2766777842,0.8041095202,1.0432932831,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",4,2,85,1.2,5,2,0.5364,0.612,1.1484,0.54,0.558,0.54,0.522,0.522,0.63,0.585,0.612,0.612,0.621,1.17,1.143,1.152,1.134,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.5341688077,0.6906469894,1.1154701141,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",4,3,85,1.2,5,2,0.558,0.5904,1.1484,0.522,0.576,0.576,0.567,0.549,0.639,0.522,0.576,0.621,0.594,1.161,1.098,1.152,1.188,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.6746184569,0.5933933916,1.1154701141,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",4,4,85,1.2,5,2,0.6012,0.54,1.1412,0.558,0.648,0.63,0.612,0.558,0.594,0.432,0.54,0.585,0.549,1.152,1.08,1.17,1.197,1.107,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.9555177552,0.36646833,1.0793816986,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",5,1,85,1.2,5,2,0.5778,0.5292,1.107,0.675,0.576,0.486,0.585,0.567,0.405,0.486,0.585,0.567,0.603,1.08,1.062,1.071,1.152,1.17,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.8033639686,0.3178415311,0.9079617249,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",5,2,85,1.2,5,2,0.6084,0.558,1.1664,0.702,0.594,0.594,0.549,0.603,0.576,0.558,0.549,0.54,0.567,1.278,1.152,1.143,1.089,1.17,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.002334305,0.4475129948,1.2056911529,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",5,3,85,1.2,5,2,0.6048,0.5166,1.1214,0.576,0.63,0.603,0.612,0.603,0.54,0.513,0.522,0.504,0.504,1.116,1.143,1.125,1.116,1.107,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.9789260301,0.2611102657,0.9801385559,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",5,4,85,1.2,5,2,0.6066,0.5454,1.152,0.612,0.585,0.603,0.612,0.621,0.621,0.531,0.522,0.54,0.513,1.233,1.116,1.125,1.152,1.134,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.9906301675,0.3907817294,1.1335143219,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",6,1,85,1.2,5,2,0.4752,0.6354,1.1106,0.369,0.45,0.504,0.522,0.531,0.693,0.657,0.639,0.585,0.603,1.062,1.107,1.143,1.107,1.134,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.136228135,0.7960050537,0.9260059327,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",6,2,85,1.2,5,2,0.567,0.5598,1.1268,0.468,0.648,0.576,0.558,0.585,0.603,0.513,0.567,0.54,0.576,1.071,1.161,1.143,1.098,1.161,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.733139144,0.4556174613,1.0072048676,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",6,3,85,1.2,5,2,0.567,0.5544,1.1214,0.513,0.594,0.594,0.558,0.576,0.693,0.432,0.54,0.567,0.54,1.206,1.026,1.134,1.125,1.116,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.733139144,0.4313040619,0.9801385559,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",6,4,85,1.2,5,2,0.5958,0.5238,1.1196,0.522,0.513,0.729,0.63,0.585,0.585,0.396,0.531,0.549,0.558,1.107,0.909,1.26,1.179,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.9204053429,0.2935281316,0.9711164521,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",7,1,85,1.2,5,2,0.5256,0.6534,1.179,0.747,0.45,0.504,0.468,0.459,0.612,0.666,0.63,0.675,0.684,1.359,1.116,1.134,1.143,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.4639439831,0.8770497186,1.2688458801,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",7,2,85,1.2,5,2,0.6048,0.5508,1.1556,0.657,0.585,0.567,0.603,0.612,0.504,0.549,0.576,0.549,0.576,1.161,1.134,1.143,1.152,1.188,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.9789260301,0.4150951289,1.1515585297,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",7,3,85,1.2,5,2,0.5742,0.5634,1.1376,0.567,0.603,0.558,0.594,0.549,0.585,0.558,0.549,0.576,0.549,1.152,1.161,1.107,1.17,1.098,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7799556938,0.4718263943,1.0613374909,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",7,4,85,1.2,5,2,0.6048,0.5436,1.1484,0.585,0.585,0.63,0.603,0.621,0.558,0.549,0.54,0.54,0.531,1.143,1.134,1.17,1.143,1.152,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.9789260301,0.3826772629,1.1154701141,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",8,1,85,1.2,5,2,0.5238,0.6084,1.1322,0.441,0.477,0.558,0.558,0.585,0.693,0.648,0.612,0.585,0.504,1.134,1.125,1.17,1.143,1.089,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.4522398457,0.6744380564,1.0342711792,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",8,2,85,1.2,5,2,0.549,0.5886,1.1376,0.531,0.621,0.567,0.495,0.531,0.603,0.486,0.576,0.612,0.666,1.134,1.107,1.143,1.107,1.197,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.6160977697,0.5852889251,1.0613374909,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",8,3,85,1.2,5,2,0.5706,0.549,1.1196,0.468,0.648,0.648,0.522,0.567,0.666,0.351,0.54,0.594,0.594,1.134,0.999,1.188,1.116,1.161,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7565474189,0.4069906624,0.9711164521,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",8,4,85,1.2,5,2,0.5958,0.54,1.1358,0.522,0.693,0.63,0.567,0.567,0.63,0.387,0.558,0.549,0.576,1.152,1.08,1.188,1.116,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.9204053429,0.36646833,1.052315387,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",9,1,85,1.2,5,2,0.5634,0.558,1.1214,0.531,0.576,0.585,0.594,0.531,0.549,0.549,0.576,0.567,0.549,1.08,1.125,1.161,1.161,1.08,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7097308692,0.4475129948,0.9801385559,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",9,2,85,1.2,5,2,0.549,0.585,1.134,0.567,0.558,0.558,0.504,0.558,0.594,0.603,0.567,0.576,0.585,1.161,1.161,1.125,1.08,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.6160977697,0.5690799921,1.0432932831,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",9,3,85,1.2,5,2,0.5634,0.5832,1.1466,0.54,0.594,0.549,0.585,0.549,0.576,0.576,0.648,0.567,0.549,1.116,1.17,1.197,1.152,1.098,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7097308692,0.5609755256,1.1064480103,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",9,4,85,1.2,5,2,0.5868,0.5652,1.152,0.63,0.567,0.612,0.603,0.522,0.558,0.522,0.54,0.603,0.603,1.188,1.089,1.152,1.206,1.125,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.8618846558,0.4799308608,1.1335143219,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",10,1,85,1.2,5,2,0.4842,0.6138,1.098,0.306,0.459,0.531,0.558,0.567,0.729,0.585,0.603,0.549,0.603,1.035,1.044,1.134,1.107,1.17,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.1947488222,0.6987514559,0.8628512055,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",10,2,85,1.2,5,2,0.567,0.5724,1.1394,0.477,0.621,0.63,0.531,0.576,0.594,0.495,0.549,0.612,0.612,1.071,1.116,1.179,1.143,1.188,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.733139144,0.5123487267,1.0703595947,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",10,3,85,1.2,5,2,0.5076,0.5994,1.107,0.432,0.648,0.567,0.45,0.441,0.558,0.702,0.396,0.63,0.711,0.99,1.35,0.963,1.08,1.152,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.3469026088,0.633915724,0.9079617249,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",10,4,85,1.2,5,2,0.5778,0.5706,1.1484,0.423,0.747,0.639,0.522,0.558,0.684,0.351,0.576,0.621,0.621,1.107,1.098,1.215,1.143,1.179,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.8033639686,0.5042442602,1.1154701141,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",1,1,85,1,5,2,0.5742,0.3744,0.9486,0.567,0.567,0.576,0.576,0.585,0.378,0.36,0.387,0.378,0.369,0.945,0.927,0.963,0.954,0.954,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.7799556938,-0.3791425867,0.1140165835,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",1,2,85,1,5,2,0.6372,0.3024,0.9396,0.639,0.666,0.603,0.657,0.621,0.333,0.288,0.315,0.288,0.288,0.972,0.954,0.918,0.945,0.909,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,1.1896005039,-0.7033212461,0.0689060641,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",1,3,85,1,5,2,0.648,0.306,0.954,0.612,0.621,0.657,0.657,0.693,0.342,0.306,0.315,0.261,0.306,0.954,0.927,0.972,0.918,0.999,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,1.2598253285,-0.6871123131,0.1410828951,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",1,4,85,1,5,2,0.27,0.6804,0.9504,0.27,0.315,0.252,0.27,0.243,0.693,0.648,0.702,0.675,0.684,0.963,0.963,0.954,0.945,0.927,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,-1.1980435323,0.9986167158,0.1230386873,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",2,1,85,1,5,2,0.504,0.4428,0.9468,0.531,0.468,0.486,0.504,0.531,0.495,0.432,0.45,0.423,0.414,1.026,0.9,0.936,0.927,0.945,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.3234943339,-0.0711728602,0.1049944796,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",2,2,85,1,5,2,0.5364,0.3924,0.9288,0.585,0.522,0.54,0.495,0.54,0.36,0.396,0.432,0.396,0.378,0.945,0.918,0.972,0.891,0.918,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.5341688077,-0.2980979218,0.0147734408,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",2,3,85,1,5,2,0.5994,0.3366,0.936,0.576,0.558,0.603,0.603,0.657,0.333,0.342,0.342,0.342,0.324,0.909,0.9,0.945,0.945,0.981,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.9438136178,-0.5493363829,0.0508618563,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",2,4,85,1,5,2,0.7632,0.1746,0.9378,0.756,0.765,0.756,0.756,0.783,0.171,0.189,0.18,0.198,0.135,0.927,0.954,0.936,0.954,0.918,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,2.0088901241,-1.2787383666,0.0598839602,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",3,1,85,1,5,2,0.5238,0.4212,0.945,0.513,0.522,0.522,0.522,0.54,0.441,0.405,0.432,0.423,0.405,0.954,0.927,0.954,0.945,0.945,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.4522398457,-0.1684264581,0.0959723757,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",3,2,85,1,5,2,0.5454,0.396,0.9414,0.54,0.549,0.54,0.558,0.54,0.405,0.387,0.414,0.369,0.405,0.945,0.936,0.954,0.927,0.945,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.5926894948,-0.2818889889,0.0779281679,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",3,3,85,1,5,2,0.5814,0.3528,0.9342,0.567,0.576,0.567,0.585,0.612,0.36,0.36,0.369,0.342,0.333,0.927,0.936,0.936,0.927,0.945,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.8267722435,-0.4763961845,0.0418397524,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",3,4,85,1,5,2,0.441,0.4914,0.9324,0.414,0.468,0.423,0.45,0.45,0.495,0.495,0.495,0.468,0.504,0.909,0.963,0.918,0.918,0.954,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,-0.0861504762,0.1476477349,0.0328176485,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",4,1,85,1,5,2,0.5616,0.4068,0.9684,0.585,0.549,0.549,0.576,0.549,0.486,0.369,0.387,0.405,0.387,1.071,0.918,0.936,0.981,0.936,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.6980267317,-0.23326219,0.2132597261,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",4,2,85,1,5,2,0.5994,0.3492,0.9486,0.621,0.612,0.567,0.612,0.585,0.279,0.378,0.369,0.378,0.342,0.9,0.99,0.936,0.99,0.927,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,0.9438136178,-0.4926051175,0.1140165835,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
"85:15 PPF:DEF, 2bar, 5mm/s, 1mm",4,3,85,1,5,2,0.6192,0.3204,0.9396,0.693,0.63,0.603,0.603,0.567,0.216,0.306,0.351,0.378,0.351,0.909,0.936,0.954,0.981,0.918,-0.7253025041,0.2349218595,-0.8062444689,-1.295163493,1.0725591296,-0.6222765813,0.0689060641,0.4282700207,0.420459665,0.6692991056,0.494049446,0.3864051252,0.5703085966,0.419656253,0.521913257,0.440179265,0.509375753,0.94156951,0.949555018
