Label,Layer #,Scaffold #,wt% PPF,Spacing (mm),Speed (mm/s),Pressure (bar),Mean fiber,Mean pore,Mean spacing,Fiber Size (x1),x2,x3,x4,x5,Pore Size (x1),x2 2,x3 2,x4 2,x5 2,Fiber spacing (x1),Spacing x2,Spacing x3,Spacing x4,Spacing x5,Std wt% PPF,Std Spacing (mm),Std Speed (mm/s),Std Pressure (bar),Std Mean fiber,Std Mean pore,Std Mean spacing,Linear pore size,Quadratic pore size,Linear fiber diameter,Quadratic fiber diameter,4th order pore,4th order fiber,"Pore (lin, step)","Fiber (lin, step)","Pore (quad, step)","Fiber (quad, step)","Sum (lin, step)","Sum (quad, step)"
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",7,3,90,0.8,5,2.5,0.2106,0.5022,0.7128,0.279,0.252,0.225,0.189,0.108,0.441,0.504,0.567,0.567,0.432,0.72,0.756,0.792,0.756,0.54,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,-1.5842800675,0.1962745338,-1.0678790248,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",7,4,90,0.8,5,2.5,0.3168,0.4662,0.783,0.513,0.531,0.333,0.081,0.126,0.144,0.378,0.522,0.63,0.657,0.657,0.909,0.855,0.711,0.783,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,-0.893735959,0.0341852041,-0.7160169735,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",8,1,90,0.8,5,2.5,0.3366,0.4968,0.8334,0.315,0.54,0.234,0.378,0.216,0.621,0.72,0.396,0.45,0.297,0.936,1.26,0.63,0.828,0.513,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,-0.7649904473,0.1719611343,-0.4633980649,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",8,2,90,0.8,5,2.5,0.4608,0.4878,0.9486,0.27,0.54,0.648,0.432,0.414,0.639,0.414,0.306,0.234,0.846,0.909,0.954,0.954,0.666,1.26,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,0.0425950355,0.1314388019,0.1140165835,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",8,3,90,0.8,5,2.5,0.4752,0.7992,1.2744,0.549,0.54,0.342,0.891,0.054,1.062,0.891,0.45,1.044,0.549,1.611,1.431,0.792,1.935,0.603,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,0.136228135,1.5335115039,1.7470173857,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",8,4,90,0.8,5,2.5,0.3222,0.504,0.8262,0.144,0.279,0.45,0.333,0.405,0.216,0.837,0.333,0.684,0.45,0.36,1.116,0.783,1.017,0.855,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,-0.8586235467,0.2043790003,-0.4994864804,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",9,1,90,0.8,5,2.5,0.2664,0.5526,0.819,0.279,0.279,0.594,0.063,0.117,0.594,0.432,0.594,0.36,0.783,0.873,0.711,1.188,0.423,0.9,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,-1.2214518071,0.4231995954,-0.5355748959,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",9,2,90,0.8,5,2.5,0.4014,0.6336,1.035,0.261,0.243,0.576,0.495,0.432,0.891,0.441,0.531,0.54,0.765,1.152,0.684,1.107,1.035,1.197,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,-0.3436414997,0.7879005872,0.5470775697,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",9,3,90,0.8,5,2.5,,,,,,,,,,,,,,,,,,,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,,,,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
"90:10 PPF:DEF, 2.5bar, 5mm/s, 0.8mm",9,4,90,0.8,5,2.5,,,,,,,,,,,,,,,,,,,1.3780747579,-0.7047655786,-0.8062444689,-0.4284002323,,,,0.4559191107,0.459705665,0.4051865856,0.273596446,0.5445043078,0.2313468005,0.420721341,0.365490305,0.475089507,0.312139274,0.786211646,0.787228781
